"*firstName","*lastName","dob","dobVerified","*gender","*country","*occup","status","license","@img(page:1, pos:40 350, w:290, h:200, bgcol:#F5F5DC, border:5 round LightGray)"
"Loujain","al-Hathloul","*31.07.1989","*true","female","Saudi Arabia","Activist","alive","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Loujain_Alhathloul.jpg/425px-Loujain_Alhathloul.jpg,(https://en.wikipedia.org/wiki/Loujain_al-Hathloul)"
"Mahsa","Amini","","f","female","Iran","Student","*killed","fair use","https://upload.wikimedia.org/wikipedia/en/7/71/Mahsa_Amini.jpeg,(https://en.wikipedia.org/wiki/Death_of_Mahsa_Amini)"
"Anastasia","Baburova","*30.11.1983","*t","female","Ukraine","Journalist","*killed","fair use","https://upload.wikimedia.org/wikipedia/en/6/6b/Anastasia_Baburova.jpg,(https://en.wikipedia.org/wiki/Anastasia_Baburova)"
"Raif","Badawi","*13.01.1984","*t","male","Saudi Arabia","Activist","alive","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Raif_Badawi_cropped.jpg/448px-Raif_Badawi_cropped.jpg,(https://en.wikipedia.org/wiki/Raif_Badawi)"
"Ales","Bialiatski","25.09.1962","*t","male","Russia","Activist","imprisoned","CC BY 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ales_Bialiatski_Fot_Mariusz_Kubik_02.jpg/168px-Ales_Bialiatski_Fot_Mariusz_Kubik_02.jpg,(https://en.wikipedia.org/wiki/Ales_Bialiatski)"
"Yevgeniya","Chirikova","*12.11.1976","*t","female","Russia","Activist","alive","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/%D0%A7%D0%B8%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.JPG/320px-%D0%A7%D0%B8%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.JPG,(https://en.wikipedia.org/wiki/Yevgeniya_Chirikova)"
"Alex","Chow","*18.08.1990","*t","male","Hong Kong","Activist","alive","Public Domain","https://upload.wikimedia.org/wikipedia/commons/7/77/%E9%A6%99%E6%B8%AF%E9%9B%A8%E5%82%98%E9%81%8B%E5%8B%95%E5%AD%B8%E7%94%9F%E9%A0%98%E8%A2%96%E5%91%A8%E6%B0%B8%E5%BA%B7.jpg,(https://en.wikipedia.org/wiki/Alex_Chow)"
"Paloma","Costa","","f","female","Brazil","Environmentalist","alive","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Paloma_Costa_%28ecoa_uol%29.jpg/320px-Paloma_Costa_%28ecoa_uol%29.jpg,(https://en.wikipedia.org/wiki/Paloma_Costa)"
"Asia Kate","Dillon","*15.11.1984","*t","non-binary","USA","Actor","alive","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Meet_Taylor_Mason_%28Asia_Kate_Dillon%29_Billions_Season_2.jpg/272px-Meet_Taylor_Mason_%28Asia_Kate_Dillon%29_Billions_Season_2.jpg,(https://en.wikipedia.org/wiki/Asia_Kate_Dillon)"
"Marielle","Franco","*27.7.1979","*t","female","Brazil","Human Rights Activist","killed","CC BY-SA 2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Marielle_Franco.jpg/160px-Marielle_Franco.jpg,(https://en.wikipedia.org/wiki/Marielle_Franco)"
"Niloofar","Hamedi","*22.10.1992","*t","female","Iran","Journalist","imprisoned","CC BY 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Niloofar_Hamedi_04.jpg/206px-Niloofar_Hamedi_04.jpg,(https://en.wikipedia.org/wiki/Niloofar_Hamedi)"
"Werner Karl","Heisenberg","*05.12.1901","*t","male","Germany","Physicist","*deceased","CC BY-SA 3.0 de","https://upload.wikimedia.org/wikipedia/commons/f/f8/Bundesarchiv_Bild183-R57262%2C_Werner_Heisenberg.jpg,(https://en.wikipedia.org/wiki/Werner_Heisenberg)"
"Hindou Oumarou","Ibrahim","","f","female","Chad","Environmental Activist","alive","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hindou_Oumarou_Ibrahim.jpg/237px-Hindou_Oumarou_Ibrahim.jpg,(https://en.wikipedia.org/wiki/Hindou_Oumarou_Ibrahim)"
"Vladimir","Kara-Murza","*07.11.1981","*t","male","Russia","Journalist","imprisoned","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Vladimir_V._Kara-Murza_%282017%29.jpg/384px-Vladimir_V._Kara-Murza_%282017%29.jpg,(https://en.wikipedia.org/wiki/Vladimir_Kara-Murza)"
"Nathan","Law","*13.07.1993","*t","male","Hong Kong","Activist","alive","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Nathan_Law_%282022%29_II.jpg/384px-Nathan_Law_%282022%29_II.jpg,(https://en.wikipedia.org/wiki/Nathan_Law)"
"Alexander","Litvinenko","*30.08.1962","*t","male","Russia","Journalist","*killed","fair use","https://upload.wikimedia.org/wikipedia/en/9/99/AlexanderLitvinenko.jpg,(https://en.wikipedia.org/wiki/Alexander_Litvinenko)"
"Gopi Shankar","Madurai","*13.04.1991","*t","non-binary","India","Activist","alive","unknown","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm6N-rADTwRyO6dLvc8E0qOnIBBOwdMUcIV8v6oKjOMLAo8QS_,(https://en.wikipedia.org/wiki/Gopi_Shankar_Madurai)"
"Stanislav","Markelov","*20.05.1974","*t","male","Russia","Human Rights Lawyer","*killed","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Stanislav_Markelov.1974-2009.20071113.jpg/180px-Stanislav_Markelov.1974-2009.20071113.jpg,(https://en.wikipedia.org/wiki/Stanislav_Markelov)"
"Alexei","Moskalyov","","f","male","Russia","Father","imprisoned","Twitter","https://static1.straitstimes.com.sg/s3fs-public/styles/large30x20/public/articles/2023/04/06/russiandaughter09_0.jpg?VersionId=T4bWNKws01Pm6_o7bx60BlmmbMTIO8Bt&itok=MDzF7OdS,(https://www.pbs.org/newshour/world/russian-court-convicts-father-of-teen-who-drew-antiwar-pictures)"
"Dmitry","Muratov","*29.10.1961","*t","male","Russia","Journalist","alive","CC BY-SA 3.0 de","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/2018-06-20_Boris_Nemzow_Preis_2018-9831_%28cropped%29.jpg/389px-2018-06-20_Boris_Nemzow_Preis_2018-9831_%28cropped%29.jpg,(https://en.wikipedia.org/wiki/Dmitry_Muratov)"
"Alexei","Nawalny","*04.06.1976","*t","male","Russia","Activist","*killed","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Alexey_Navalny_2_%28cropped%29_1.jpg/181px-Alexey_Navalny_2_%28cropped%29_1.jpg,(https://en.wikipedia.org/wiki/Alexei_Navalny)"
"Boris","Nemtsov","*09.10.1959","*t","male","Russia","Politician","*killed","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Boris_Nemtsov_2014.jpg/440px-Boris_Nemtsov_2014.jpg,(https://en.wikipedia.org/wiki/Boris_Nemtsov)"
"Luisa","Neubauer","*21.04.1996","*t","female","Germany","Climate Activist","alive","CC BY 2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Luisa_Neubauer_%2851975888350%29.jpg/320px-Luisa_Neubauer_%2851975888350%29.jpg,(https://en.wikipedia.org/wiki/Luisa_Neubauer)"
"Wolfgang Ernst","Pauli","*25.04.1900","*t","male","Austria","Physicist","*deceased","Public Domain","https://upload.wikimedia.org/wikipedia/commons/4/43/Pauli.jpg,(https://en.wikipedia.org/wiki/Wolfgang_Pauli)"
"Autumn","Peltier","*27.09.2004","*t","female","Canada","Environmental Activist","alive","Twitter","https://pbs.twimg.com/profile_images/1385574542740017158/v_MJVFfB_400x400.jpg,(https://en.wikipedia.org/wiki/Autumn_Peltier)"
"Andrzej","Poczobut","*16.04.1973",*t,"male","Belarus","Journalist","imprisoned","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Andrzej_Poczobut_portrait_2013.jpg/360px-Andrzej_Poczobut_portrait_2013.jpg,(https://en.wikipedia.org/wiki/Andrzej_Poczobut)"
"Anna","Politkovskaya","*30.08.1958","*t","female","Russia","Human Rights Activist","*killed","CC BY 2.0","https://upload.wikimedia.org/wikipedia/commons/3/32/Anna_Politkovskaja_im_Gespr%C3%A4ch_mit_Christhard_L%C3%A4pple.jpg,(https://en.wikipedia.org/wiki/Anna_Politkovskaya)"
"Viktor","Popkov","*17.06.1946","*t","male","Russia","Human Rights Activist","*killed","fair use","https://upload.wikimedia.org/wikipedia/en/7/73/Viktor_Popkov.jpg,(https://en.wikipedia.org/wiki/Viktor_Popkov)"
"Roman","Protasevich","*05.05.1995","*t","male","Belarus","Activist","alive","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9F%D1%80%D0%BE%D1%82%D0%B0%D1%81%D0%B5%D0%B2%D0%B8%D1%87.jpg/168px-%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9F%D1%80%D0%BE%D1%82%D0%B0%D1%81%D0%B5%D0%B2%D0%B8%D1%87.jpg,(https://en.wikipedia.org/wiki/Roman_Protasevich)"
"Tarcila","Rivera Zea","*24.12.1950","*t","female","Peru","Activist","alive","Twitter","https://pbs.twimg.com/profile_images/856320137166815233/aK5MLAvu_400x400.jpg,(https://en.wikipedia.org/wiki/Tarcila_Rivera_Zea)"
"Yevgeny","Roizman","*14.09.1962","*t","male","Russia","Politician","alive","CC BY-SA 4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Roizman_Yevgeny.png/185px-Roizman_Yevgeny.png,(https://en.wikipedia.org/wiki/Yevgeny_Roizman)"
"Yuri Petrovich","Shchekochikhin","*09.06.1950","*t","male","Azerbaijan","Journalist","killed","fair use","https://upload.wikimedia.org/wikipedia/en/c/cb/Yuri_Shchekochikhin.png,(https://en.wikipedia.org/wiki/Yuri_Shchekochikhin)"
"Marina","Silva","08.02.1958","*t","female","Brazil","Minister of Climate Change","alive","Twitter","https://pbs.twimg.com/profile_images/1577255224741400576/_1Vi_i-g_400x400.jpg,(https://en.wikipedia.org/wiki/Marina_Silva)"
"Greta","Thunberg","*03.01.2003","*t","female","Sweden","Environmental Activist","alive","CC BY 2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Glastonbury2022_%28218_of_413%29_%2852182434551%29_%28cropped%29_%28cropped%29.jpg/505px-Glastonbury2022_%28218_of_413%29_%2852182434551%29_%28cropped%29_%28cropped%29.jpg,(https://en.wikipedia.org/wiki/Greta_Thunberg)"
"Alan","Turing","*23.06.1912","*t","male","UK","Computer Scientist","*deceased","Public Domain","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Alan_Turing_%281912-1954%29_in_1936_at_Princeton_University.jpg/236px-Alan_Turing_%281912-1954%29_in_1936_at_Princeton_University.jpg,(https://en.wikipedia.org/wiki/Alan_Turing)"
"Lester","Shum","11.06.1993","*t","male","Hong Kong","Social Activist","alive","Copyrighted free use","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/%E5%B2%91%E6%95%96%E6%9A%89_Legco_primary_%28cropped%29.png/180px-%E5%B2%91%E6%95%96%E6%9A%89_Legco_primary_%28cropped%29.png,(https://en.wikipedia.org/wiki/Lester_Shum)"
"Alexandria","Villaseñor","","f","female","USA","Climate Activist","alive","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Alexandria_Villase%C3%B1or_receiving_Tribeca_Disruptive_Innovation_award.jpg/158px-Alexandria_Villase%C3%B1or_receiving_Tribeca_Disruptive_Innovation_award.jpg,(https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or)"
"Joshua","Wong","*13.10.1996","*t","male","Hong Kong","Activist","imprisoned","Public Domain","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Joshua_Wong_%282019%29.jpg/170px-Joshua_Wong_%282019%29.jpg,(https://en.wikipedia.org/wiki/Joshua_Wong)"
"Volodymyr","Zelenskyy","*25.01.1978","*t","male","Ukraine","President Ukraine","alive","PDM-owner","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Volodymyr_Zelenskyy_in_2022.jpg/173px-Volodymyr_Zelenskyy_in_2022.jpg,(https://en.wikipedia.org/wiki/Volodymyr_Zelenskyy)"
"Anton","Zeilinger","*20.05.1945","*t","male","Austria","Quantum Physicist","alive","CC BY-SA 2.5","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Godany_zeilinger2011_2452_blackboard.jpg/640px-Godany_zeilinger2011_2452_blackboard.jpg,(https://en.wikipedia.org/wiki/Anton_Zeilinger)"
"Gao","Zhisheng","*20.04.1964","*t","male","China","Attorney","unknown","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/4/4d/6-Kao.jpg,(https://en.wikipedia.org/wiki/Gao_Zhisheng)"